ID,Prob1
0, 0.14
1, 0.37
2, 0.35
3, 0.16
4, 0.24
5, 0.41
6, 0.33
7, 0.41
8, 0.41
9, 0.21
10, 0.21
11, 0.39
12, 0.14
13, 0.61
14, 0.52
15, 0.37
16, 0.16
17, 0.37
18, 0.15
19, 0.46
20, 0.37
21, 0.33
22, 0.39
23, 0.34
24, 0.27
25, 0.37
26, 0.52
27, 0.15
28, 0.33
29, 0.77
30, 0.16
31, 0.33
32, 0.16
33, 0.37
34, 0.37
35, 0.33
36, 0.35
37, 0.35
38, 0.52
39, 0.62
40, 0.33
41, 0.15
42, 0.21
43, 0.46
44, 0.24
45, 0.16
46, 0.24
47, 0.62
48, 0.33
49, 0.46
50, 0.52
51, 0.14
52, 0.46
53, 0.27
54, 0.52
55, 0.16
56, 0.61
57, 0.16
58, 0.43
59, 0.34
60, 0.35
61, 0.35
62, 0.32
63, 0.16
64, 0.15
65, 0.27
66, 0.35
67, 0.27
68, 0.32
69, 0.48
70, 0.77
71, 0.35
72, 0.24
73, 0.21
74, 0.16
75, 0.27
76, 0.16
77, 0.34
78, 0.16
79, 0.33
80, 0.37
81, 0.24
82, 0.21
83, 0.52
84, 0.46
85, 0.24
86, 0.52
87, 0.52
88, 0.32
89, 0.46
90, 0.32
91, 0.16
92, 0.35
93, 0.35
94, 0.21
95, 0.34
96, 0.27
97, 0.21
98, 0.16
99, 0.77
100, 0.52
101, 0.37
102, 0.52
103, 0.21
104, 0.33
105, 0.15
106, 0.14
107, 0.16
108, 0.14
109, 0.37
110, 0.35
111, 0.21
112, 0.35
113, 0.21
114, 0.41
115, 0.14
116, 0.24
117, 0.41
118, 0.33
119, 0.33
120, 0.32
121, 0.35
122, 0.46
123, 0.62
124, 0.21
125, 0.39
126, 0.21
127, 0.41
128, 0.14
129, 0.16
130, 0.61
131, 0.41
132, 0.21
133, 0.35
134, 0.15
135, 0.21
136, 0.27
137, 0.18
138, 0.18
139, 0.37
140, 0.16
141, 0.35
142, 0.62
143, 0.16
144, 0.16
145, 0.33
146, 0.41
147, 0.39
148, 0.24
149, 0.27
150, 0.37
151, 0.27
152, 0.33
153, 0.14
154, 0.41
155, 0.39
156, 0.37
157, 0.39
158, 0.15
159, 0.46
160, 0.37
161, 0.43
162, 0.26
163, 0.24
164, 0.14
165, 0.14
166, 0.24
167, 0.35
168, 0.41
169, 0.15
170, 0.21
171, 0.48
172, 0.16
173, 0.77
174, 0.41
175, 0.26
176, 0.37
177, 0.39
178, 0.43
179, 0.15
180, 0.37
181, 0.41
182, 0.43
183, 0.27
184, 0.62
185, 0.35
186, 0.48
187, 0.46
188, 0.37
189, 0.33
190, 0.77
191, 0.46
192, 0.41
193, 0.18
194, 0.16
195, 0.33
196, 0.43
197, 0.37
198, 0.33
199, 0.15
200, 0.32
201, 0.18
202, 0.62
203, 0.32
204, 0.35
205, 0.15
206, 0.35
207, 0.37
208, 0.26
209, 0.43
210, 0.26
211, 0.37
212, 0.34
213, 0.43
214, 0.39
215, 0.35
216, 0.39
217, 0.27
218, 0.15
219, 0.52
220, 0.48
221, 0.46
222, 0.46
223, 0.48
224, 0.37
225, 0.16
226, 0.62
227, 0.35
228, 0.35
229, 0.37
230, 0.21
231, 0.52
232, 0.21
233, 0.33
234, 0.27
235, 0.35
236, 0.33
237, 0.26
238, 0.62
239, 0.46
240, 0.43
241, 0.16
242, 0.16
243, 0.41
244, 0.21
245, 0.62
246, 0.14
247, 0.61
248, 0.32
249, 0.14
250, 0.43
251, 0.27
252, 0.14
253, 0.18
254, 0.33
255, 0.27
256, 0.33
257, 0.27
258, 0.62
259, 0.18
260, 0.14
261, 0.41
262, 0.33
263, 0.21
264, 0.33
265, 0.37
266, 0.27
267, 0.16
268, 0.26
269, 0.61
270, 0.37
271, 0.16
272, 0.27
273, 0.26
274, 0.35
275, 0.26
276, 0.61
277, 0.77
278, 0.26
279, 0.27
280, 0.46
281, 0.27
282, 0.16
283, 0.39
284, 0.39
285, 0.52
286, 0.21
287, 0.21
288, 0.33
289, 0.16
290, 0.27
291, 0.35
292, 0.14
293, 0.46
294, 0.18
295, 0.15
296, 0.35
297, 0.16
298, 0.21
299, 0.62
300, 0.43
301, 0.52
302, 0.62
303, 0.61
304, 0.21
305, 0.35
306, 0.37
307, 0.21
308, 0.52
309, 0.14
310, 0.33
311, 0.16
312, 0.52
313, 0.33
314, 0.77
315, 0.37
316, 0.21
317, 0.26
318, 0.37
319, 0.35
320, 0.35
321, 0.46
322, 0.39
323, 0.18
324, 0.15
325, 0.39
326, 0.37
327, 0.35
328, 0.27
329, 0.15
330, 0.15
331, 0.41
332, 0.16
333, 0.16
334, 0.33
335, 0.15
336, 0.16
337, 0.77
338, 0.41
339, 0.33
340, 0.46
341, 0.15
342, 0.34
343, 0.21
344, 0.15
345, 0.62
346, 0.46
347, 0.21
348, 0.21
349, 0.35
350, 0.32
351, 0.21
352, 0.32
353, 0.48
354, 0.33
355, 0.16
356, 0.32
357, 0.37
358, 0.15
359, 0.34
360, 0.16
361, 0.21
362, 0.15
363, 0.39
364, 0.21
365, 0.77
366, 0.16
367, 0.26
368, 0.16
369, 0.33
370, 0.39
371, 0.15
372, 0.26
373, 0.26
374, 0.33
375, 0.18
376, 0.37
377, 0.24
378, 0.35
379, 0.14
380, 0.41
381, 0.43
382, 0.46
383, 0.77
384, 0.16
385, 0.21
386, 0.48
387, 0.35
388, 0.16
389, 0.24
390, 0.15
391, 0.27
392, 0.46
393, 0.27
394, 0.43
395, 0.14
396, 0.21
397, 0.35
398, 0.14
399, 0.61
400, 0.21
401, 0.16
402, 0.16
403, 0.16
404, 0.18
405, 0.24
406, 0.48
407, 0.46
408, 0.52
409, 0.16
410, 0.21
411, 0.16
412, 0.37
413, 0.37
414, 0.33
415, 0.21
416, 0.35
417, 0.21
418, 0.35
419, 0.37
420, 0.46
421, 0.24
422, 0.16
423, 0.21
424, 0.34
425, 0.32
426, 0.21
427, 0.35
428, 0.39
429, 0.34
430, 0.33
431, 0.16
432, 0.16
433, 0.14
434, 0.62
435, 0.27
436, 0.33
437, 0.35
438, 0.35
439, 0.24
440, 0.33
441, 0.27
442, 0.61
443, 0.15
444, 0.16
445, 0.37
446, 0.52
447, 0.43
448, 0.77
449, 0.62
450, 0.24
451, 0.46
452, 0.27
453, 0.61
454, 0.52
455, 0.26
456, 0.61
457, 0.46
458, 0.21
459, 0.15
460, 0.61
461, 0.35
462, 0.21
463, 0.41
464, 0.43
465, 0.21
466, 0.33
467, 0.61
468, 0.27
469, 0.26
470, 0.24
471, 0.35
472, 0.21
473, 0.41
474, 0.37
475, 0.32
476, 0.43
477, 0.21
478, 0.27
479, 0.35
480, 0.16
481, 0.33
482, 0.37
483, 0.21
484, 0.16
485, 0.41
486, 0.61
487, 0.61
488, 0.16
489, 0.43
490, 0.39
491, 0.46
492, 0.15
493, 0.15
494, 0.77
495, 0.46
496, 0.41
497, 0.77
498, 0.43
499, 0.61
500, 0.61
501, 0.37
502, 0.26
503, 0.24
504, 0.43
505, 0.26
506, 0.33
507, 0.21
508, 0.33
509, 0.37
510, 0.33
511, 0.26
512, 0.37
513, 0.14
514, 0.46
515, 0.77
516, 0.33
517, 0.43
518, 0.46
519, 0.61
520, 0.46
521, 0.39
522, 0.27
523, 0.37
524, 0.18
525, 0.62
526, 0.35
527, 0.43
528, 0.46
529, 0.21
530, 0.33
531, 0.35
532, 0.33
533, 0.16
534, 0.77
535, 0.37
536, 0.35
537, 0.24
538, 0.18
539, 0.61
540, 0.27
541, 0.35
542, 0.77
543, 0.62
544, 0.15
545, 0.35
546, 0.18
547, 0.32
548, 0.35
549, 0.33
550, 0.41
551, 0.33
552, 0.52
553, 0.34
554, 0.46
555, 0.21
556, 0.24
557, 0.39
558, 0.24
559, 0.27
560, 0.39
561, 0.16
562, 0.26
563, 0.18
564, 0.18
565, 0.16
566, 0.18
567, 0.21
568, 0.24
569, 0.26
570, 0.37
571, 0.18
572, 0.21
573, 0.41
574, 0.15
575, 0.34
576, 0.21
577, 0.35
578, 0.35
579, 0.52
580, 0.62
581, 0.16
582, 0.48
583, 0.33
584, 0.21
585, 0.15
586, 0.48
587, 0.37
588, 0.21
589, 0.46
590, 0.21
591, 0.24
592, 0.61
593, 0.34
594, 0.14
595, 0.21
596, 0.18
597, 0.21
598, 0.24
599, 0.35
600, 0.35
601, 0.24
602, 0.26
603, 0.52
604, 0.35
605, 0.15
606, 0.37
607, 0.35
608, 0.39
609, 0.61
610, 0.24
611, 0.77
612, 0.37
613, 0.41
614, 0.18
615, 0.34
616, 0.21
617, 0.15
618, 0.24
619, 0.33
620, 0.35
621, 0.46
622, 0.16
623, 0.35
624, 0.52
625, 0.48
626, 0.26
627, 0.37
628, 0.37
629, 0.62
630, 0.62
631, 0.16
632, 0.37
633, 0.33
634, 0.16
635, 0.48
636, 0.39
637, 0.18
638, 0.15
639, 0.35
640, 0.21
641, 0.33
642, 0.46
643, 0.37
644, 0.16
645, 0.26
646, 0.16
647, 0.32
648, 0.33
649, 0.33
650, 0.33
651, 0.16
652, 0.41
653, 0.34
654, 0.34
655, 0.46
656, 0.35
657, 0.62
658, 0.35
659, 0.37
660, 0.77
661, 0.33
662, 0.37
663, 0.16
664, 0.61
665, 0.21
666, 0.34
667, 0.24
668, 0.62
669, 0.33
670, 0.24
671, 0.24
672, 0.39
673, 0.14
674, 0.27
675, 0.21
676, 0.35
677, 0.43
678, 0.33
679, 0.16
680, 0.61
681, 0.18
682, 0.21
683, 0.52
684, 0.21
685, 0.34
686, 0.39
687, 0.35
688, 0.16
689, 0.39
690, 0.33
691, 0.33
692, 0.24
693, 0.16
694, 0.14
695, 0.52
696, 0.24
697, 0.32
698, 0.18
699, 0.32
700, 0.41
701, 0.15
702, 0.33
703, 0.33
704, 0.46
705, 0.62
706, 0.24
707, 0.24
708, 0.14
709, 0.33
710, 0.61
711, 0.77
712, 0.37
713, 0.33
714, 0.39
715, 0.21
716, 0.77
717, 0.18
718, 0.16
719, 0.16
720, 0.32
721, 0.62
722, 0.33
723, 0.33
724, 0.27
725, 0.21
726, 0.39
727, 0.46
728, 0.35
729, 0.35
730, 0.16
731, 0.33
732, 0.15
733, 0.33
734, 0.21
735, 0.52
736, 0.35
737, 0.39
738, 0.77
739, 0.37
740, 0.61
741, 0.77
742, 0.16
743, 0.39
744, 0.62
745, 0.62
746, 0.41
747, 0.46
748, 0.35
749, 0.43
750, 0.16
751, 0.37
752, 0.15
753, 0.18
754, 0.39
755, 0.35
756, 0.35
757, 0.41
758, 0.15
759, 0.37
760, 0.21
761, 0.34
762, 0.33
763, 0.27
764, 0.24
765, 0.39
766, 0.32
767, 0.14
768, 0.14
769, 0.35
770, 0.37
771, 0.15
772, 0.35
773, 0.14
774, 0.35
775, 0.37
776, 0.16
777, 0.33
778, 0.35
779, 0.35
780, 0.77
781, 0.16
782, 0.21
783, 0.21
784, 0.61
785, 0.46
786, 0.21
787, 0.34
788, 0.77
789, 0.16
790, 0.27
791, 0.46
792, 0.33
793, 0.35
794, 0.41
795, 0.48
796, 0.21
797, 0.41
798, 0.62
799, 0.21
800, 0.43
801, 0.21
802, 0.35
803, 0.33
804, 0.39
805, 0.77
806, 0.16
807, 0.33
808, 0.21
809, 0.41
810, 0.37
811, 0.61
812, 0.35
813, 0.27
814, 0.46
815, 0.14
816, 0.21
817, 0.62
818, 0.16
819, 0.37
820, 0.14
821, 0.35
822, 0.35
823, 0.16
824, 0.37
825, 0.21
826, 0.61
827, 0.24
828, 0.16
829, 0.46
830, 0.26
831, 0.41
832, 0.21
833, 0.61
834, 0.21
835, 0.41
836, 0.48
837, 0.18
838, 0.37
839, 0.16
840, 0.34
841, 0.24
842, 0.43
843, 0.39
844, 0.48
845, 0.33
846, 0.33
847, 0.35
848, 0.21
849, 0.61
850, 0.24
851, 0.26
852, 0.52
853, 0.61
854, 0.32
855, 0.16
856, 0.37
857, 0.35
858, 0.14
859, 0.35
860, 0.21
861, 0.43
862, 0.27
863, 0.24
864, 0.37
865, 0.37
866, 0.41
867, 0.52
868, 0.21
869, 0.27
870, 0.14
871, 0.24
872, 0.24
873, 0.33
874, 0.32
875, 0.46
876, 0.37
877, 0.15
878, 0.21
879, 0.14
880, 0.27
881, 0.14
882, 0.27
883, 0.37
884, 0.16
885, 0.35
886, 0.21
887, 0.61
888, 0.62
889, 0.41
890, 0.46
891, 0.16
892, 0.35
893, 0.39
894, 0.34
895, 0.33
896, 0.43
897, 0.21
898, 0.32
899, 0.35
900, 0.41
901, 0.46
902, 0.62
903, 0.41
904, 0.62
905, 0.43
906, 0.21
907, 0.48
908, 0.77
909, 0.48
910, 0.77
911, 0.24
912, 0.43
913, 0.48
914, 0.21
915, 0.16
916, 0.24
917, 0.35
918, 0.21
919, 0.41
920, 0.62
921, 0.26
922, 0.35
923, 0.62
924, 0.46
925, 0.15
926, 0.15
927, 0.21
928, 0.43
929, 0.39
930, 0.16
931, 0.21
932, 0.33
933, 0.37
934, 0.37
935, 0.21
936, 0.24
937, 0.21
938, 0.15
939, 0.61
940, 0.26
941, 0.35
942, 0.61
943, 0.37
944, 0.16
945, 0.18
946, 0.46
947, 0.43
948, 0.35
949, 0.41
950, 0.41
951, 0.43
952, 0.43
953, 0.62
954, 0.35
955, 0.35
956, 0.21
957, 0.43
958, 0.46
959, 0.21
960, 0.16
961, 0.43
962, 0.15
963, 0.35
964, 0.15
965, 0.16
966, 0.52
967, 0.39
968, 0.26
969, 0.39
970, 0.37
971, 0.62
972, 0.52
973, 0.37
974, 0.39
975, 0.43
976, 0.14
977, 0.37
978, 0.61
979, 0.26
980, 0.62
981, 0.61
982, 0.39
983, 0.35
984, 0.41
985, 0.35
986, 0.27
987, 0.33
988, 0.21
989, 0.26
990, 0.16
991, 0.16
992, 0.35
993, 0.41
994, 0.21
995, 0.43
996, 0.62
997, 0.37
998, 0.46
999, 0.15
1000, 0.14
1001, 0.77
1002, 0.46
1003, 0.43
1004, 0.77
1005, 0.24
1006, 0.32
1007, 0.62
1008, 0.15
1009, 0.61
1010, 0.26
1011, 0.43
1012, 0.26
1013, 0.62
1014, 0.37
1015, 0.33
1016, 0.52
1017, 0.41
1018, 0.61
1019, 0.16
1020, 0.35
1021, 0.39
1022, 0.24
1023, 0.52
1024, 0.37
1025, 0.37
1026, 0.62
1027, 0.61
1028, 0.46
1029, 0.24
1030, 0.46
1031, 0.21
1032, 0.62
1033, 0.33
1034, 0.35
1035, 0.41
1036, 0.18
1037, 0.15
1038, 0.26
1039, 0.16
1040, 0.37
1041, 0.14
1042, 0.14
1043, 0.34
1044, 0.33
1045, 0.35
1046, 0.61
1047, 0.21
1048, 0.62
1049, 0.46
1050, 0.41
1051, 0.34
1052, 0.35
1053, 0.15
1054, 0.33
1055, 0.39
1056, 0.16
1057, 0.21
1058, 0.33
1059, 0.21
1060, 0.15
1061, 0.24
1062, 0.41
1063, 0.46
1064, 0.16
1065, 0.21
1066, 0.18
1067, 0.14
1068, 0.61
1069, 0.16
1070, 0.77
1071, 0.16
1072, 0.15
1073, 0.21
1074, 0.21
1075, 0.16
1076, 0.35
1077, 0.39
1078, 0.46
1079, 0.24
1080, 0.33
1081, 0.16
1082, 0.24
1083, 0.61
1084, 0.21
1085, 0.48
1086, 0.43
1087, 0.21
1088, 0.35
1089, 0.16
1090, 0.24
1091, 0.37
1092, 0.27
1093, 0.14
1094, 0.35
1095, 0.24
1096, 0.33
1097, 0.52
1098, 0.15
1099, 0.21
1100, 0.46
1101, 0.18
1102, 0.33
1103, 0.35
1104, 0.33
1105, 0.43
1106, 0.37
1107, 0.35
1108, 0.21
1109, 0.48
1110, 0.41
1111, 0.18
1112, 0.61
1113, 0.15
1114, 0.14
1115, 0.52
1116, 0.61
1117, 0.35
1118, 0.16
1119, 0.46
1120, 0.46
1121, 0.21
1122, 0.33
1123, 0.21
1124, 0.14
1125, 0.24
1126, 0.16
1127, 0.34
1128, 0.16
1129, 0.37
1130, 0.61
1131, 0.15
1132, 0.27
1133, 0.37
1134, 0.16
1135, 0.35
1136, 0.41
1137, 0.33
1138, 0.39
1139, 0.62
1140, 0.52
1141, 0.46
1142, 0.16
1143, 0.35
1144, 0.61
1145, 0.33
1146, 0.35
1147, 0.33
1148, 0.35
1149, 0.62
1150, 0.16
1151, 0.48
1152, 0.18
1153, 0.21
1154, 0.35
1155, 0.39
1156, 0.37
1157, 0.16
1158, 0.46
1159, 0.37
1160, 0.33
1161, 0.16
1162, 0.16
1163, 0.46
1164, 0.33
1165, 0.77
1166, 0.21
1167, 0.16
1168, 0.35
1169, 0.18
1170, 0.52
1171, 0.24
1172, 0.37
1173, 0.62
1174, 0.35
1175, 0.24
1176, 0.61
1177, 0.35
1178, 0.32
1179, 0.24
1180, 0.34
1181, 0.18
1182, 0.34
1183, 0.26
1184, 0.43
1185, 0.46
1186, 0.16
1187, 0.35
1188, 0.46
1189, 0.21
1190, 0.24
1191, 0.21
1192, 0.39
1193, 0.39
1194, 0.21
1195, 0.14
1196, 0.27
1197, 0.32
1198, 0.46
1199, 0.32
1200, 0.41
1201, 0.34
1202, 0.62
1203, 0.52
1204, 0.21
1205, 0.33
1206, 0.48
1207, 0.16
1208, 0.21
1209, 0.62
1210, 0.37
1211, 0.16
1212, 0.39
1213, 0.16
1214, 0.15
1215, 0.32
1216, 0.24
1217, 0.24
1218, 0.34
1219, 0.16
1220, 0.32
1221, 0.21
1222, 0.62
1223, 0.26
1224, 0.16
1225, 0.21
1226, 0.24
1227, 0.35
1228, 0.18
1229, 0.37
1230, 0.41
1231, 0.21
1232, 0.21
1233, 0.37
1234, 0.15
1235, 0.21
1236, 0.41
1237, 0.46
1238, 0.27
1239, 0.77
1240, 0.33
1241, 0.24
1242, 0.62
1243, 0.16
1244, 0.26
1245, 0.27
1246, 0.35
1247, 0.43
1248, 0.21
1249, 0.21
1250, 0.35
1251, 0.35
1252, 0.46
1253, 0.26
1254, 0.35
1255, 0.16
1256, 0.41
1257, 0.21
1258, 0.16
1259, 0.43
1260, 0.21
1261, 0.37
1262, 0.39
1263, 0.27
1264, 0.21
1265, 0.21
1266, 0.46
1267, 0.61
1268, 0.21
1269, 0.33
1270, 0.32
1271, 0.21
1272, 0.33
1273, 0.18
1274, 0.41
1275, 0.27
1276, 0.33
1277, 0.43
1278, 0.62
1279, 0.37
1280, 0.61
1281, 0.35
1282, 0.27
1283, 0.33
1284, 0.16
1285, 0.26
1286, 0.33
1287, 0.21
1288, 0.16
1289, 0.16
1290, 0.24
1291, 0.62
1292, 0.26
1293, 0.41
1294, 0.62
1295, 0.34
1296, 0.39
1297, 0.15
1298, 0.16
1299, 0.46
1300, 0.27
1301, 0.32
1302, 0.35
1303, 0.15
1304, 0.41
1305, 0.62
1306, 0.14
1307, 0.35
1308, 0.16
1309, 0.27
1310, 0.41
1311, 0.35
1312, 0.52
1313, 0.16
1314, 0.34
1315, 0.21
1316, 0.16
1317, 0.46
1318, 0.27
1319, 0.18
1320, 0.43
1321, 0.26
1322, 0.21
1323, 0.21
1324, 0.35
1325, 0.37
1326, 0.24
1327, 0.77
1328, 0.21
1329, 0.34
1330, 0.21
1331, 0.26
1332, 0.24
1333, 0.21
1334, 0.24
1335, 0.14
1336, 0.26
1337, 0.35
1338, 0.21
1339, 0.37
1340, 0.33
1341, 0.61
1342, 0.35
1343, 0.77
1344, 0.14
1345, 0.21
1346, 0.16
1347, 0.41
1348, 0.21
1349, 0.21
1350, 0.21
1351, 0.16
1352, 0.52
1353, 0.21
1354, 0.33
1355, 0.14
1356, 0.39
1357, 0.26
1358, 0.16
1359, 0.15
1360, 0.41
1361, 0.14
1362, 0.35
1363, 0.39
1364, 0.26
1365, 0.52
1366, 0.35
1367, 0.46
1368, 0.43
1369, 0.37
1370, 0.35
1371, 0.37
1372, 0.37
1373, 0.35
1374, 0.15
1375, 0.39
1376, 0.41
1377, 0.21
1378, 0.41
1379, 0.41
1380, 0.15
1381, 0.43
1382, 0.16
1383, 0.35
1384, 0.52
1385, 0.33
1386, 0.33
1387, 0.35
1388, 0.34
1389, 0.33
1390, 0.62
1391, 0.62
1392, 0.37
1393, 0.37
1394, 0.21
1395, 0.16
1396, 0.61
1397, 0.37
1398, 0.33
1399, 0.43
1400, 0.21
1401, 0.37
1402, 0.33
1403, 0.37
1404, 0.62
1405, 0.18
1406, 0.37
1407, 0.61
1408, 0.33
1409, 0.37
1410, 0.62
1411, 0.21
1412, 0.21
1413, 0.14
1414, 0.14
1415, 0.24
1416, 0.33
1417, 0.14
1418, 0.16
1419, 0.46
1420, 0.27
1421, 0.33
1422, 0.61
1423, 0.35
1424, 0.61
1425, 0.43
1426, 0.21
1427, 0.43
1428, 0.37
1429, 0.37
1430, 0.18
1431, 0.41
1432, 0.18
1433, 0.21
1434, 0.32
1435, 0.46
1436, 0.21
1437, 0.52
1438, 0.24
1439, 0.18
1440, 0.37
1441, 0.37
1442, 0.41
1443, 0.43
1444, 0.33
1445, 0.48
1446, 0.34
1447, 0.35
1448, 0.61
1449, 0.39
1450, 0.41
1451, 0.21
1452, 0.14
1453, 0.35
1454, 0.24
1455, 0.21
1456, 0.33
1457, 0.41
1458, 0.46
1459, 0.35
1460, 0.21
1461, 0.24
1462, 0.21
1463, 0.37
1464, 0.62
1465, 0.16
1466, 0.35
1467, 0.24
1468, 0.46
1469, 0.46
1470, 0.35
1471, 0.52
1472, 0.61
1473, 0.46
1474, 0.21
1475, 0.46
1476, 0.15
1477, 0.35
1478, 0.35
1479, 0.27
1480, 0.35
1481, 0.37
1482, 0.24
1483, 0.14
1484, 0.41
1485, 0.21
1486, 0.35
1487, 0.24
1488, 0.21
1489, 0.21
1490, 0.32
1491, 0.61
1492, 0.37
1493, 0.16
1494, 0.43
1495, 0.77
1496, 0.37
1497, 0.21
1498, 0.15
1499, 0.41
1500, 0.48
1501, 0.32
1502, 0.16
1503, 0.77
1504, 0.32
1505, 0.18
1506, 0.33
1507, 0.16
1508, 0.35
1509, 0.16
1510, 0.16
1511, 0.43
1512, 0.33
1513, 0.35
1514, 0.35
1515, 0.35
1516, 0.32
1517, 0.16
1518, 0.24
1519, 0.21
1520, 0.37
1521, 0.14
1522, 0.15
1523, 0.26
1524, 0.43
1525, 0.35
1526, 0.35
1527, 0.48
1528, 0.32
1529, 0.43
1530, 0.41
1531, 0.37
1532, 0.52
1533, 0.33
1534, 0.21
1535, 0.41
1536, 0.15
1537, 0.61
1538, 0.62
1539, 0.41
1540, 0.32
1541, 0.37
1542, 0.24
1543, 0.37
1544, 0.35
1545, 0.46
1546, 0.16
1547, 0.21
1548, 0.37
1549, 0.62
1550, 0.35
1551, 0.33
1552, 0.21
1553, 0.21
1554, 0.46
1555, 0.61
1556, 0.41
1557, 0.37
1558, 0.77
1559, 0.33
1560, 0.37
1561, 0.16
1562, 0.43
1563, 0.46
1564, 0.62
1565, 0.77
1566, 0.35
1567, 0.32
1568, 0.41
1569, 0.15
1570, 0.21
1571, 0.41
1572, 0.33
1573, 0.61
1574, 0.35
1575, 0.21
1576, 0.24
1577, 0.35
1578, 0.15
1579, 0.16
1580, 0.41
1581, 0.32
1582, 0.26
1583, 0.77
1584, 0.16
1585, 0.61
1586, 0.27
1587, 0.16
1588, 0.77
1589, 0.33
1590, 0.37
1591, 0.35
1592, 0.35
1593, 0.26
1594, 0.35
1595, 0.33
1596, 0.15
1597, 0.77
1598, 0.37
1599, 0.33
1600, 0.61
1601, 0.43
1602, 0.24
1603, 0.16
1604, 0.37
1605, 0.16
1606, 0.39
1607, 0.16
1608, 0.21
1609, 0.34
1610, 0.18
1611, 0.24
1612, 0.21
1613, 0.37
1614, 0.21
1615, 0.43
1616, 0.14
1617, 0.46
1618, 0.16
1619, 0.61
1620, 0.26
1621, 0.77
1622, 0.43
1623, 0.32
1624, 0.77
1625, 0.15
1626, 0.43
1627, 0.15
1628, 0.21
1629, 0.37
1630, 0.35
1631, 0.46
1632, 0.77
1633, 0.33
1634, 0.26
1635, 0.52
1636, 0.15
1637, 0.14
1638, 0.24
1639, 0.16
1640, 0.48
1641, 0.14
1642, 0.35
1643, 0.15
1644, 0.37
1645, 0.52
1646, 0.62
1647, 0.46
1648, 0.33
1649, 0.16
1650, 0.37
1651, 0.43
1652, 0.43
1653, 0.21
1654, 0.61
1655, 0.34
1656, 0.16
1657, 0.16
1658, 0.37
1659, 0.35
1660, 0.39
1661, 0.32
1662, 0.24
1663, 0.26
1664, 0.16
1665, 0.27
1666, 0.33
1667, 0.21
1668, 0.33
1669, 0.41
1670, 0.41
1671, 0.24
1672, 0.24
1673, 0.41
1674, 0.46
1675, 0.27
1676, 0.62
1677, 0.62
1678, 0.33
1679, 0.16
1680, 0.77
1681, 0.35
1682, 0.18
1683, 0.18
1684, 0.37
1685, 0.37
1686, 0.77
1687, 0.35
1688, 0.27
1689, 0.37
1690, 0.34
1691, 0.24
1692, 0.62
1693, 0.77
1694, 0.46
1695, 0.35
1696, 0.18
1697, 0.46
1698, 0.46
1699, 0.21
1700, 0.61
1701, 0.26
1702, 0.37
1703, 0.24
1704, 0.48
1705, 0.43
1706, 0.48
1707, 0.21
1708, 0.37
1709, 0.52
1710, 0.52
1711, 0.35
1712, 0.35
1713, 0.18
1714, 0.61
1715, 0.35
1716, 0.37
1717, 0.46
1718, 0.34
1719, 0.33
1720, 0.34
1721, 0.33
1722, 0.18
1723, 0.15
1724, 0.35
1725, 0.33
1726, 0.77
1727, 0.34
1728, 0.35
1729, 0.24
1730, 0.35
1731, 0.43
1732, 0.18
1733, 0.37
1734, 0.21
1735, 0.16
1736, 0.43
1737, 0.27
1738, 0.46
1739, 0.32
1740, 0.14
1741, 0.32
1742, 0.35
1743, 0.61
1744, 0.35
1745, 0.14
1746, 0.52
1747, 0.24
1748, 0.27
1749, 0.34
1750, 0.15
1751, 0.46
1752, 0.15
1753, 0.46
1754, 0.37
1755, 0.46
1756, 0.35
1757, 0.37
1758, 0.34
1759, 0.35
1760, 0.37
1761, 0.62
1762, 0.39
1763, 0.37
1764, 0.21
1765, 0.37
1766, 0.33
1767, 0.21
1768, 0.24
1769, 0.18
1770, 0.24
1771, 0.14
1772, 0.24
1773, 0.77
1774, 0.37
1775, 0.16
1776, 0.37
1777, 0.24
1778, 0.33
1779, 0.41
1780, 0.43
1781, 0.61
1782, 0.35
1783, 0.21
1784, 0.46
1785, 0.24
1786, 0.21
1787, 0.26
1788, 0.35
1789, 0.33
1790, 0.32
1791, 0.37
1792, 0.77
1793, 0.21
1794, 0.24
1795, 0.48
1796, 0.32
1797, 0.41
1798, 0.62
1799, 0.33
1800, 0.24
1801, 0.41
1802, 0.35
1803, 0.33
1804, 0.48
1805, 0.33
1806, 0.39
1807, 0.21
1808, 0.52
1809, 0.16
1810, 0.41
1811, 0.18
1812, 0.48
1813, 0.37
1814, 0.41
1815, 0.35
1816, 0.32
1817, 0.37
1818, 0.26
1819, 0.21
1820, 0.14
1821, 0.46
1822, 0.37
1823, 0.21
1824, 0.21
1825, 0.62
1826, 0.14
1827, 0.26
1828, 0.62
1829, 0.77
1830, 0.26
1831, 0.16
1832, 0.16
1833, 0.21
1834, 0.21
1835, 0.24
1836, 0.43
1837, 0.18
1838, 0.52
1839, 0.35
1840, 0.18
1841, 0.46
