ID,Prob1
0, 0.17
1, 0.31
2, 0.36
3, 0.24
4, 0.23
5, 0.38
6, 0.31
7, 0.62
8, 0.40
9, 0.19
10, 0.23
11, 0.27
12, 0.22
13, 0.55
14, 0.42
15, 0.20
16, 0.25
17, 0.26
18, 0.17
19, 0.42
20, 0.30
21, 0.20
22, 0.35
23, 0.25
24, 0.22
25, 0.33
26, 0.36
27, 0.19
28, 0.21
29, 0.72
30, 0.23
31, 0.24
32, 0.25
33, 0.37
34, 0.49
35, 0.42
36, 0.41
37, 0.33
38, 0.42
39, 0.59
40, 0.25
41, 0.21
42, 0.31
43, 0.42
44, 0.32
45, 0.30
46, 0.28
47, 0.56
48, 0.32
49, 0.39
50, 0.44
51, 0.27
52, 0.43
53, 0.22
54, 0.46
55, 0.17
56, 0.56
57, 0.23
58, 0.39
59, 0.24
60, 0.33
61, 0.44
62, 0.34
63, 0.27
64, 0.21
65, 0.23
66, 0.29
67, 0.23
68, 0.23
69, 0.38
70, 0.70
71, 0.43
72, 0.23
73, 0.25
74, 0.22
75, 0.30
76, 0.19
77, 0.26
78, 0.22
79, 0.34
80, 0.33
81, 0.21
82, 0.26
83, 0.45
84, 0.56
85, 0.30
86, 0.48
87, 0.42
88, 0.23
89, 0.43
90, 0.23
91, 0.28
92, 0.29
93, 0.42
94, 0.23
95, 0.26
96, 0.26
97, 0.27
98, 0.18
99, 0.72
100, 0.44
101, 0.46
102, 0.39
103, 0.20
104, 0.22
105, 0.19
106, 0.22
107, 0.25
108, 0.18
109, 0.36
110, 0.32
111, 0.26
112, 0.33
113, 0.23
114, 0.40
115, 0.15
116, 0.21
117, 0.39
118, 0.35
119, 0.30
120, 0.28
121, 0.37
122, 0.54
123, 0.59
124, 0.23
125, 0.33
126, 0.21
127, 0.41
128, 0.22
129, 0.24
130, 0.55
131, 0.39
132, 0.28
133, 0.29
134, 0.23
135, 0.23
136, 0.24
137, 0.18
138, 0.33
139, 0.22
140, 0.20
141, 0.30
142, 0.67
143, 0.25
144, 0.22
145, 0.27
146, 0.42
147, 0.24
148, 0.34
149, 0.24
150, 0.45
151, 0.23
152, 0.28
153, 0.16
154, 0.54
155, 0.28
156, 0.38
157, 0.28
158, 0.18
159, 0.45
160, 0.26
161, 0.37
162, 0.33
163, 0.28
164, 0.22
165, 0.21
166, 0.26
167, 0.33
168, 0.39
169, 0.17
170, 0.24
171, 0.40
172, 0.20
173, 0.71
174, 0.38
175, 0.28
176, 0.36
177, 0.24
178, 0.45
179, 0.18
180, 0.51
181, 0.38
182, 0.36
183, 0.24
184, 0.61
185, 0.34
186, 0.53
187, 0.54
188, 0.40
189, 0.25
190, 0.74
191, 0.51
192, 0.40
193, 0.25
194, 0.25
195, 0.34
196, 0.38
197, 0.41
198, 0.27
199, 0.21
200, 0.22
201, 0.19
202, 0.60
203, 0.23
204, 0.49
205, 0.21
206, 0.35
207, 0.36
208, 0.27
209, 0.45
210, 0.28
211, 0.36
212, 0.26
213, 0.40
214, 0.30
215, 0.31
216, 0.33
217, 0.20
218, 0.19
219, 0.40
220, 0.37
221, 0.58
222, 0.50
223, 0.45
224, 0.30
225, 0.24
226, 0.52
227, 0.33
228, 0.40
229, 0.35
230, 0.28
231, 0.47
232, 0.23
233, 0.30
234, 0.22
235, 0.41
236, 0.41
237, 0.29
238, 0.55
239, 0.44
240, 0.41
241, 0.22
242, 0.24
243, 0.38
244, 0.29
245, 0.69
246, 0.16
247, 0.55
248, 0.34
249, 0.18
250, 0.38
251, 0.23
252, 0.22
253, 0.23
254, 0.25
255, 0.24
256, 0.23
257, 0.21
258, 0.71
259, 0.21
260, 0.25
261, 0.40
262, 0.30
263, 0.17
264, 0.31
265, 0.41
266, 0.22
267, 0.18
268, 0.19
269, 0.53
270, 0.26
271, 0.19
272, 0.21
273, 0.31
274, 0.34
275, 0.24
276, 0.56
277, 0.67
278, 0.29
279, 0.25
280, 0.46
281, 0.24
282, 0.22
283, 0.23
284, 0.40
285, 0.48
286, 0.30
287, 0.36
288, 0.32
289, 0.21
290, 0.21
291, 0.35
292, 0.24
293, 0.46
294, 0.25
295, 0.18
296, 0.32
297, 0.17
298, 0.26
299, 0.59
300, 0.35
301, 0.43
302, 0.67
303, 0.54
304, 0.29
305, 0.34
306, 0.35
307, 0.20
308, 0.37
309, 0.25
310, 0.30
311, 0.23
312, 0.40
313, 0.24
314, 0.71
315, 0.40
316, 0.20
317, 0.28
318, 0.30
319, 0.44
320, 0.34
321, 0.45
322, 0.29
323, 0.21
324, 0.19
325, 0.24
326, 0.31
327, 0.40
328, 0.22
329, 0.20
330, 0.17
331, 0.53
332, 0.31
333, 0.21
334, 0.31
335, 0.20
336, 0.24
337, 0.74
338, 0.39
339, 0.32
340, 0.57
341, 0.22
342, 0.36
343, 0.21
344, 0.24
345, 0.66
346, 0.55
347, 0.22
348, 0.21
349, 0.31
350, 0.19
351, 0.30
352, 0.21
353, 0.44
354, 0.37
355, 0.29
356, 0.22
357, 0.35
358, 0.18
359, 0.19
360, 0.30
361, 0.20
362, 0.17
363, 0.43
364, 0.22
365, 0.71
366, 0.26
367, 0.34
368, 0.22
369, 0.31
370, 0.22
371, 0.21
372, 0.25
373, 0.18
374, 0.31
375, 0.34
376, 0.41
377, 0.23
378, 0.46
379, 0.27
380, 0.43
381, 0.34
382, 0.40
383, 0.71
384, 0.26
385, 0.39
386, 0.45
387, 0.32
388, 0.19
389, 0.25
390, 0.19
391, 0.20
392, 0.54
393, 0.26
394, 0.31
395, 0.16
396, 0.22
397, 0.41
398, 0.19
399, 0.66
400, 0.37
401, 0.23
402, 0.23
403, 0.24
404, 0.23
405, 0.24
406, 0.47
407, 0.43
408, 0.40
409, 0.23
410, 0.23
411, 0.23
412, 0.42
413, 0.29
414, 0.32
415, 0.25
416, 0.32
417, 0.20
418, 0.29
419, 0.31
420, 0.45
421, 0.19
422, 0.29
423, 0.24
424, 0.26
425, 0.35
426, 0.19
427, 0.36
428, 0.18
429, 0.24
430, 0.33
431, 0.37
432, 0.21
433, 0.23
434, 0.56
435, 0.27
436, 0.32
437, 0.40
438, 0.34
439, 0.23
440, 0.24
441, 0.22
442, 0.56
443, 0.23
444, 0.23
445, 0.28
446, 0.45
447, 0.34
448, 0.72
449, 0.56
450, 0.27
451, 0.46
452, 0.25
453, 0.55
454, 0.43
455, 0.25
456, 0.59
457, 0.46
458, 0.27
459, 0.19
460, 0.56
461, 0.33
462, 0.26
463, 0.38
464, 0.35
465, 0.21
466, 0.21
467, 0.58
468, 0.24
469, 0.27
470, 0.30
471, 0.38
472, 0.28
473, 0.41
474, 0.33
475, 0.26
476, 0.31
477, 0.36
478, 0.22
479, 0.27
480, 0.19
481, 0.34
482, 0.39
483, 0.18
484, 0.23
485, 0.41
486, 0.67
487, 0.55
488, 0.26
489, 0.35
490, 0.25
491, 0.53
492, 0.18
493, 0.16
494, 0.60
495, 0.58
496, 0.43
497, 0.66
498, 0.31
499, 0.59
500, 0.56
501, 0.36
502, 0.30
503, 0.27
504, 0.41
505, 0.26
506, 0.34
507, 0.19
508, 0.24
509, 0.30
510, 0.34
511, 0.23
512, 0.34
513, 0.20
514, 0.41
515, 0.70
516, 0.33
517, 0.41
518, 0.49
519, 0.64
520, 0.49
521, 0.30
522, 0.23
523, 0.39
524, 0.26
525, 0.57
526, 0.33
527, 0.38
528, 0.52
529, 0.24
530, 0.24
531, 0.30
532, 0.30
533, 0.29
534, 0.70
535, 0.38
536, 0.34
537, 0.29
538, 0.24
539, 0.64
540, 0.21
541, 0.26
542, 0.68
543, 0.69
544, 0.18
545, 0.41
546, 0.31
547, 0.23
548, 0.41
549, 0.26
550, 0.41
551, 0.28
552, 0.43
553, 0.22
554, 0.44
555, 0.23
556, 0.24
557, 0.24
558, 0.26
559, 0.26
560, 0.30
561, 0.20
562, 0.17
563, 0.19
564, 0.20
565, 0.23
566, 0.26
567, 0.22
568, 0.21
569, 0.21
570, 0.37
571, 0.32
572, 0.17
573, 0.38
574, 0.26
575, 0.26
576, 0.26
577, 0.39
578, 0.36
579, 0.41
580, 0.58
581, 0.25
582, 0.48
583, 0.26
584, 0.26
585, 0.18
586, 0.52
587, 0.37
588, 0.34
589, 0.53
590, 0.17
591, 0.21
592, 0.65
593, 0.23
594, 0.17
595, 0.29
596, 0.19
597, 0.37
598, 0.20
599, 0.36
600, 0.29
601, 0.30
602, 0.31
603, 0.46
604, 0.29
605, 0.18
606, 0.42
607, 0.32
608, 0.31
609, 0.55
610, 0.25
